FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,marche_nom,jour,organisme,geometry
_mview_marche_marches.fid--c72d8f_193db82c344_-5bef,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Vakpossito,Marché de Vakpossito,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",Non,"MULTIPOLYGON (((1.163437915407828 6.2172876530162045, 1.1637067235937115 6.217401180876223, 1.1638402492285291 6.217144433219377, 1.1636786129337497 6.2170081997179105, 1.1635117058902276 6.217147926385619, 1.163437915407828 6.2172876530162045)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bee,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Zongo,Marché de Haoussa Zongo,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",Oui,"MULTIPOLYGON (((1.206981257825946 6.25500408784298, 1.207454654935421 6.254127099168133, 1.208605870633464 6.253849029281122, 1.2082723408517884 6.2567794506561105, 1.2075622451875752 6.256961264579677, 1.206981257825946 6.25500408784298)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bed,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Togble Kope,Marché d'ademessime,"{lundi,mardi,mercredi,jeudi,vendredi}",Oui,"MULTIPOLYGON (((1.2109974337157352 6.278723735930782, 1.2113751233989445 6.278540075156824, 1.2112881732560474 6.278056614868656, 1.2111876371533228 6.278099829214354, 1.2111930715372536 6.278170052518469, 1.2110001509077006 6.27832400357512, 1.2108941804210447 6.278494159953213, 1.2109974337157352 6.278723735930782)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bec,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Djikame,Marché de Djikame,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",Non,"MULTIPOLYGON (((1.2244494371509467 6.24175843464053, 1.224441259519431 6.242085430103794, 1.2247446937514028 6.242074846409589, 1.2247500171589816 6.241767919184622, 1.2244494371509467 6.24175843464053)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5beb,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Sanguera,Marché de Sanguera,"{vendredi,lundi,mardi,mercredi,jeudi,samedi,dimanche}",Oui,"MULTIPOLYGON (((1.1130506294637423 6.229748979166772, 1.1133173994718644 6.230101687953791, 1.1132453715696715 6.230335059050996, 1.1126851545526155 6.230677159676387, 1.112437058445062 6.230255500734063, 1.1130506294637423 6.229748979166772)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bea,Maritime,Avé,Avé 1,Tovégan,Atti Setekpe,Marché de Atti Setekpe,{mardi},Non,"MULTIPOLYGON (((0.8509383333333334 6.548768333333333, 0.8509383333333334 6.548586666666667, 0.8508600000000001 6.548576666666666, 0.8508266666666666 6.5486, 0.850795 6.5487, 0.8509383333333334 6.548768333333333)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5be9,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Attigankope,Marché de Sangnrame,"{dimanche,samedi,vendredi,jeudi,mercredi,mardi,lundi}",Oui,"MULTIPOLYGON (((1.1300608406771129 6.240270461348419, 1.1301773071825618 6.24033992719544, 1.130335701629973 6.2404418104210775, 1.130517389378474 6.240594635222388, 1.1306105625828335 6.240608528383934, 1.1307642983700266 6.240423286199707, 1.1308947408561298 6.240261199234785, 1.1307689570302444 6.240085219044675, 1.1306059039226155 6.24004817057607, 1.1304428508149866 6.240025015281859, 1.1302332111051776 6.240113005394414, 1.1300608406771129 6.240270461348419)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5be8,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Zossimè,Marché Zossimè,"{dimanche,samedi,vendredi,jeudi,mercredi,mardi,lundi}",Non,"MULTIPOLYGON (((1.1505011301404016 6.2334067191987215, 1.1505931453931193 6.233170232518574, 1.1507726873496422 6.233315247948286, 1.1506716949990983 6.233404488192802, 1.1505011301404016 6.2334067191987215)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5be7,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Konyito,Marché de Konyito,"{lundi,samedi}",Oui,"MULTIPOLYGON (((1.1158335782382223 6.275931917032322, 1.1157943065632108 6.275730229348049, 1.1155946755485666 6.27534799844189, 1.1159366663851287 6.275201612063144, 1.1161852189751924 6.27513557871115, 1.1163815278457616 6.275617497083184, 1.1163882201936217 6.2758163252386865, 1.1157833085647206 6.276129525970567, 1.1157695323733803 6.276103061885762, 1.1158370356988496 6.2760023675089585, 1.1158335782382223 6.275931917032322)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5be6,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Adeticope,Marché Adeticope,"{lundi,jeudi}",Non,"MULTIPOLYGON (((1.2185333833002854 6.3234899488413125, 1.2182449909468342 6.322008985059993, 1.2195828110308977 6.321467556382308, 1.2202397047248694 6.322430980548058, 1.2185333833002856 6.323481986681785, 1.2185333833002856 6.323481986681785, 1.2185333833002854 6.3234899488413125)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5be5,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Adoglové,Marché Adoglové,"{mercredi,samedi}",Non,"MULTIPOLYGON (((1.2185006232616833 6.346773046809958, 1.218318993656878 6.346666162085481, 1.2186655238239401 6.346281376893738, 1.2187300501309104 6.346350258214613, 1.2187204906780258 6.346414389091289, 1.2188041358907649 6.346464268656518, 1.2184958435352402 6.3467849228890865, 1.2184958435352402 6.3467849228890865, 1.2184958435352402 6.3467849228890865, 1.2185006232616833 6.346773046809958)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5be4,Maritime,Avé,Avé 1,Kévé,Ablaganme,Marché de Keve,{mercredi},Oui,"MULTIPOLYGON (((0.9311133333333333 6.4311050000000005, 0.9310550000000001 6.4311050000000005, 0.9307333333333333 6.430821666666666, 0.9310633333333332 6.430518333333334, 0.9313 6.430925, 0.9311133333333333 6.4311050000000005)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5be3,Maritime,Avé,Avé 1,Assahoun,Yovokome,Ancien Marché d'assahoun,"{dimanche,vendredi,jeudi,mercredi,mardi,lundi}",Non,"MULTIPOLYGON (((0.9141766666666666 6.453216666666666, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9160699999999999 6.4525500000000005, 0.9144933333333333 6.453991666666667, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141766666666666 6.453216666666666)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5be2,Maritime,Golfe,Golfe 1,Bè-Est,Akodessewa,Marché de Fetiches,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",Oui,"MULTIPOLYGON (((1.266926873804009 6.15785150161255, 1.266911484540236 6.157297624312816, 1.267400863128209 6.157416968089205, 1.2675916899989912 6.1577933598236925, 1.2675455222076728 6.1579402443306375, 1.266926873804009 6.15785150161255)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5be1,Maritime,Avé,Avé 1,Assahoun,Kpetchoume,Marché de Assahoun,{samedi},Non,"MULTIPOLYGON (((0.9099966666666667 6.448638333333334, 0.9115045320025474 6.44691376981175, 0.9114611509102486 6.446928138732863, 0.9114611509102486 6.446928138732863, 0.9114611509102486 6.446928138732863, 0.9084120009794237 6.445731293483174, 0.9076677132845767 6.447586601953227, 0.9077139864496954 6.447580854392296, 0.9099966666666667 6.448638333333334)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5be0,Maritime,Avé,Avé 1,Tovégan,Tovegan,Marché Tovegan,{mardi},Oui,"MULTIPOLYGON (((0.893984151922127 6.565822080911013, 0.8934594622153391 6.565282379944977, 0.893972755653618 6.565057341521219, 0.8940691487875672 6.565299138121398, 0.8942788038539065 6.565260833717318, 0.8943053119657426 6.565576844962846, 0.893984151922127 6.565822080911013)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bdf,Maritime,Avé,Avé 1,Ando,Batoume,Marché de Batoume,{samedi},Non,"MULTIPOLYGON (((0.753195 6.477923333333333, 0.753765 6.47811, 0.753765 6.47811, 0.753765 6.47811, 0.753765 6.47811, 0.753765 6.47811, 0.753765 6.47811, 0.753765 6.47811, 0.7535833333333334 6.47852, 0.7530059032799299 6.478020653648478, 0.7531952903795283 6.477922266207638, 0.753195 6.477923333333333)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bde,Maritime,Avé,Avé 1,Zolo,Edana,Marché de Dzolo,{vendredi},Non,"MULTIPOLYGON (((0.8853668803224949 6.376366242401923, 0.8852878119677502 6.375990014467949, 0.8856016893759784 6.375937628278033, 0.8856879457629726 6.376332905760693, 0.885369276333245 6.376363861213335, 0.885369276333245 6.376363861213335, 0.885369276333245 6.376363861213335, 0.8853668803224949 6.376366242401923)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bdd,Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,Ametogan Kope,Marché de Afagnan Gbleta,"{mercredi,samedi}",Non,"MULTIPOLYGON (((1.6063447848879795 6.487253588818542, 1.6059511401294349 6.486885595431535, 1.606054842243245 6.485918297246974, 1.6069648812011708 6.486727883897692, 1.6063490176273185 6.487253588818539, 1.6063447848879795 6.487253588818542)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bdc,Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,Zooti,Nouveau Marché de Zooti,Nsp,Oui,"MULTIPOLYGON (((1.6056616666666665 6.40696, 1.6062816666666668 6.406815, 1.6062333333333334 6.406668333333332, 1.6060116666666668 6.406406666666667, 1.6055916666666668 6.406498333333333, 1.6056616666666665 6.40696)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bdb,Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,Zooti,Ancien Marché de Zooti,{mercredi},Non,"MULTIPOLYGON (((1.6080682371229893 6.418368376896671, 1.6075958334504872 6.418466392397877, 1.6075958334504872 6.418466392397877, 1.607764549047809 6.418021453457983, 1.6079488383925764 6.418076909636912, 1.6080682371229893 6.418368376896671)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bda,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Château,Marché Chateau de Kpalime,"{mardi,samedi}",Oui,"MULTIPOLYGON (((0.6418283333333333 6.917401666666666, 0.64183 6.9174483333333345, 0.6405949999999999 6.918591666666667, 0.63873 6.918751666666666, 0.6386433333333333 6.918684999999999, 0.6382016666666667 6.91601, 0.6381916666666666 6.915978333333333, 0.6391749999999999 6.915535, 0.6418283333333333 6.917401666666666)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bd9,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Dome,Grand Marché de Kpalime,"{mardi,jeudi,samedi}",Oui,"MULTIPOLYGON (((0.6330016666666667 6.90597, 0.6339766666666667 6.905588333333332, 0.6341 6.904021666666667, 0.6353033333333333 6.904128333333333, 0.6353449999999999 6.905261666666666, 0.6349783333333333 6.908881666666668, 0.6338633333333333 6.910255000000001, 0.632075 6.908605, 0.6325083333333333 6.906658333333333, 0.6332966666666666 6.906725, 0.6332446441392536 6.90659525779885, 0.6332446441392536 6.90659525779885, 0.6330016666666667 6.90597)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bd8,Maritime,Avé,Avé 2,Noépé,Nsp,Marché de Noepe,{jeudi},Non,"MULTIPOLYGON (((1.03724601402779 6.260516569433802, 1.0364376495853898 6.261333987219415, 1.03574241280901 6.263208456240333, 1.035303974098138 6.262646074349868, 1.0358033379991325 6.261729672610747, 1.0362882971722138 6.261166466577297, 1.0354096087695022 6.260755994000764, 1.0351935378508024 6.260221424580227, 1.0354336166493576 6.25960094153102, 1.0362402814125027 6.259142738190803, 1.03724601402779 6.260516569433802)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bd7,Maritime,Avé,Avé 2,Aképé,Adidome,Marché d'adidome,"{mardi,vendredi}",Non,"MULTIPOLYGON (((1.08449 6.2909049999999995, 1.08392 6.289606666666667, 1.0833799999999998 6.289885, 1.083775 6.291363333333334, 1.0844898972846784 6.290904447964746, 1.0844898972846784 6.290904447964746, 1.084489284033363 6.290904541742982, 1.08449 6.2909049999999995)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bd6,Maritime,Avé,Avé 2,Badja,Badja,Marché de Badja,{mardi},Oui,"MULTIPOLYGON (((0.9862763722921087 6.3748047165126565, 0.9870471469106372 6.375455917680173, 0.9877800456265353 6.374723786830022, 0.9871475180526078 6.374083877261812, 0.9862763722921087 6.3748047165126565)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bd5,Maritime,Bas-Mono,Bas-Mono 1,Kpétsou,Kpoteme,Marché Elavagnon,{mardi},Non,"MULTIPOLYGON (((1.5833574017701455 6.533452289206674, 1.5835651502119665 6.533242809338415, 1.583289185863876 6.532979419085467, 1.5831372504362757 6.533036409970667, 1.5831031424831408 6.533101102318974, 1.5830442287459079 6.533141149958972, 1.583141901520794 6.533332146351784, 1.5833574017701455 6.533452289206674)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bd4,Maritime,Bas-Mono,Bas-Mono 1,Kpétsou,Kpetsou,Marché de Kpetsou,{dimanche},Non,"MULTIPOLYGON (((1.5798179428283488 6.529274998875572, 1.5804676773827284 6.529285461116979, 1.5805336249389368 6.529882362185656, 1.5804407277308303 6.529925289883437, 1.5798639008804976 6.5300970006377375, 1.57983149487767 6.529991827807719, 1.5798179428283488 6.529274998875572)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bd3,Centrale,Blitta,Blitta 1,Waragni,Waragni,Marché de Waragni,{lundi},Non,"MULTIPOLYGON (((1.034555721265781 8.269792849728589, 1.035319936429861 8.269728142243492, 1.0352382021877136 8.269075000471119, 1.0344821604478485 8.269168017631717, 1.034555721265781 8.269792849728589)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bd2,Centrale,Blitta,Blitta 1,Blitta,You,Marché de You,{vendredi},Oui,"MULTIPOLYGON (((0.9975283333333334 8.2721, 0.9944082398478591 8.272759086660164, 0.9938882242669469 8.267870313968757, 0.9970949870159062 8.267069807400997, 0.9975283333333334 8.2721)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bd1,Centrale,Blitta,Blitta 1,Waragni,Adjigbe,Marché d'adjigbe,{dimanche},Oui,"MULTIPOLYGON (((0.9791952310400991 8.243717266627101, 0.979545 8.243295, 0.9797787241180647 8.243583010288786, 0.9795646132127046 8.243937252817865, 0.9791952310400991 8.243717266627101)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bd0,Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,Awassi,Marché Afagnagan,{lundi},Oui,"MULTIPOLYGON (((1.6395929399538332 6.49448133920349, 1.6395583333333335 6.493224999999999, 1.6392600000000002 6.49289, 1.6382733333333335 6.493891666666667, 1.6395929399538332 6.49448133920349)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bcf,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Masseda,Marché de Masseda,{mercredi},Non,"MULTIPOLYGON (((1.6710834765352822 6.447797552709876, 1.6710214492142168 6.447733547157563, 1.6710262205466062 6.446690492573741, 1.6721784973187097 6.446477140235447, 1.6718373470528483 6.447415889852452, 1.671770548399393 6.447396925230926, 1.6716965927473535 6.44742300158534, 1.6716369510924827 6.447479895444865, 1.6715582241080533 6.4476861356321225, 1.6715582241080533 6.4476861356321225, 1.6710834765352822 6.447797552709876)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bce,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Attitogon,Marché Attitogon,"{jeudi,dimanche}",Oui,"MULTIPOLYGON (((1.6635694315153984 6.417136068647923, 1.662839614260324 6.417561632281037, 1.662754844784522 6.417451821647198, 1.6630273180995998 6.4168591446668675, 1.6630984639096476 6.416895246837675, 1.6631711234603348 6.416764376456326, 1.6630802990219757 6.416636514557022, 1.6631393349069095 6.416532720756343, 1.6635694315153984 6.417136068647923)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bcd,Maritime,Vo,Vo 1,Vo-Koutimé,Mamissi,Marché de Lomnava,{jeudi},Oui,"MULTIPOLYGON (((1.6051470716215637 6.380742937051573, 1.605136982344784 6.380353897955674, 1.6060591422424255 6.380163389012313, 1.6060611600977812 6.380664728184882, 1.6051470716215637 6.380742937051573)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bcc,Maritime,Bas-Mono,Bas-Mono 2,Agome-Glozou,Azanou,Marché d'Agome-Glozou,{mardi},Oui,"MULTIPOLYGON (((1.6654953815598905 6.554837130806786, 1.6654585934856967 6.555206667439286, 1.6650907127437562 6.555231032482354, 1.66488224698999 6.555649298869366, 1.664579767268839 6.555511230392062, 1.6646615185448257 6.555239154163113, 1.6644162647168654 6.555190424076581, 1.6645961175240362 6.554601601821194, 1.6651806391473416 6.554678757880451, 1.6654953815598905 6.554837130806786)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bcb,Maritime,Bas-Mono,Bas-Mono 2,Agome-Glozou,Aveve,Marché d'aveve,{mercredi},Oui,"MULTIPOLYGON (((1.759263601987689 6.404571147173988, 1.7600454207608074 6.403940587222784, 1.7631840265601377 6.404267127294756, 1.7632633415081354 6.404345947280834, 1.7624815227350163 6.4061137637706205, 1.7631953572669934 6.406474082303906, 1.7631953572669934 6.406474082303906, 1.7620396251676005 6.409356621409671, 1.7606572789310726 6.409919615427406, 1.759263601987689 6.404571147173988)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bca,Maritime,Bas-Mono,Bas-Mono 2,Agbétiko,Agome_seva,Marché Agome-seva,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",Non,"MULTIPOLYGON (((1.7405772625855378 6.472123439908259, 1.740697659866599 6.472069728491648, 1.740549006080799 6.47181459918474, 1.7401964140434054 6.4719464363546395, 1.740593233653434 6.472125881336153, 1.7405772625855378 6.472123439908259)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bc9,Maritime,Bas-Mono,Bas-Mono 2,Agbétiko,Agbetiko,Marché Agbetiko,{samedi},Non,"MULTIPOLYGON (((1.7121843564026447 6.496593733632309, 1.7122065867593725 6.49647827567674, 1.7123531050196228 6.496341734060308, 1.7124600688144167 6.4964263965696025, 1.712457095819121 6.496500244200143, 1.712679079467877 6.496631200638319, 1.7125670966450668 6.49682812754885, 1.7121843564026447 6.496593733632309)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bc8,Maritime,Golfe,Golfe 3,Bè-Ouest,Tokoin-tamé,Marché de Tamé,"{lundi,mercredi,mardi,jeudi,vendredi,samedi,dimanche}",Non,"MULTIPOLYGON (((1.2217285816699008 6.162047597082354, 1.2218955663115592 6.162088563018236, 1.2219129153652377 6.161999084785769, 1.22173725619674 6.161959196894148, 1.22173725619674 6.161959196894148, 1.2217285816699008 6.162047597082354)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bc7,Maritime,Golfe,Golfe 3,Bè-Ouest,Tokoin Gbonvie,Marché de Gbonvie,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",Non,"MULTIPOLYGON (((1.2191312325186774 6.1523978291017505, 1.2192190718714562 6.152412133714879, 1.2192795630301572 6.152061672675193, 1.2194536778054366 6.152088792054809, 1.2194814088793058 6.152007433911809, 1.2192922920476705 6.151975342640869, 1.2193459357643357 6.151710928574168, 1.2192836545000714 6.151699176834818, 1.2192268285290278 6.151963590907369, 1.2192268285290278 6.151963590907369, 1.2190249100941761 6.151935433886387, 1.2189949809472544 6.152048084584543, 1.2192016345807613 6.152072881904831, 1.2191312325186774 6.1523978291017505)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bc6,Savanes,Tandjoaré,Tandjoaré 1,Bogou,Nagou,Marché Dakpini,"{mercredi,samedi}",Non,"MULTIPOLYGON (((0.1401257961221276 10.664449237209213, 0.1403812804204133 10.664478844698907, 0.1404752793603487 10.664246721902483, 0.1403439218673622 10.664178032469586, 0.1401257961221276 10.664449237209213)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bc5,Maritime,Golfe,Golfe 3,Bè-Ouest,Be,Marché de Doumassesse,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",Oui,"MULTIPOLYGON (((1.2132583333333333 6.159933333333333, 1.2130566666666667 6.160971666666668, 1.2122726400137243 6.160753165195937, 1.212403989118435 6.160279613809886, 1.211852823735005 6.160086180627543, 1.2120125761398222 6.1595410071464745, 1.2132583333333333 6.159933333333333)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bc4,Maritime,Golfe,Golfe 3,Bè-Ouest,Above,Marché Gbonsime,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",Oui,"MULTIPOLYGON (((1.2086807759613134 6.158206401875778, 1.2078076362345547 6.160463460341062, 1.2063971797528674 6.159515229846923, 1.2059807592677978 6.159528585217754, 1.2061376438750306 6.157390240826694, 1.2062434923481422 6.15736077423238, 1.207708435216007 6.158160581212239, 1.2078650909562123 6.1578280300353345, 1.2086807759613134 6.158206401875778)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bc3,Maritime,Vo,Vo 3,Dzrékpo,Dzrekpo Centre,Marché de Agbossime,Nsp,Oui,"MULTIPOLYGON (((1.5690457944994431 6.472039752800721, 1.5678334530256175 6.472180718389301, 1.5677775649434906 6.4712195885959085, 1.5687061669234426 6.4711683282888925, 1.5687405595893664 6.471625399176198, 1.569062990832405 6.471621127487578, 1.5690457944994431 6.472039752800721)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bc2,Maritime,Vo,Vo 3,Dzrékpo,Klologo-centre,Marché de Gassime,{mardi},Oui,"MULTIPOLYGON (((1.5870900000000001 6.416094999999999, 1.5877583333333334 6.4165399999999995, 1.5876766666666668 6.41663, 1.5875649999999997 6.416596666666667, 1.58751 6.416661666666666, 1.5869716666666667 6.416333333333333, 1.5870900000000001 6.416094999999999)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bc1,Maritime,Golfe,Golfe 1,Bè-Est,Kelegougan,Marché de Netime Demgle,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",Oui,"MULTIPOLYGON (((1.239448244344582 6.217378351507295, 1.240315275199932 6.21810433084501, 1.2407474230710531 6.2176964774078565, 1.2398503059715118 6.216891645697292, 1.239448244344582 6.217378351507295)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bc0,Maritime,Golfe,Golfe 1,Bè-Est,Anfame,Marché d'anfame,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",Non,"MULTIPOLYGON (((1.2759153651270219 6.164340495508961, 1.2759368380530283 6.164084310215717, 1.275902481371418 6.16405869167959, 1.274936199701124 6.163990375577199, 1.274837424241494 6.164045882411061, 1.2748331296562925 6.16438319304581, 1.2750392697459552 6.16437892329228, 1.275047858916358 6.164293528214464, 1.2751423397907868 6.164344765262802, 1.2759153651270219 6.164340495508961)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bbf,Maritime,Golfe,Golfe 1,Bè-Est,Adakpame,Marché Adakpame Dangbuipe,"{lundi,mercredi,jeudi,vendredi,samedi,dimanche}",Oui,"MULTIPOLYGON (((1.2852253287548518 6.170106068138752, 1.2851687783611057 6.170358029548736, 1.2854263968215054 6.170420499301274, 1.285405452231229 6.170499627643919, 1.284722658588218 6.170353864898302, 1.2847519810146049 6.170287230486955, 1.2850975667541658 6.170341370946814, 1.2851520226888844 6.17008940952891, 1.2852253287548518 6.170106068138752)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bbe,Maritime,Golfe,Golfe 1,Bè-Est,Kangnikope,Marché de Abukope,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",Oui,"MULTIPOLYGON (((1.2972649523446547 6.172729391007303, 1.2974193595040229 6.172174867973294, 1.298371011792375 6.172425499924955, 1.2982544186312197 6.172980022696625, 1.2972649523446547 6.172729391007303)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bbd,Savanes,Tône,Tône 1,Dapaong,Gougdidao,Marché de Bétail de Dapaong,"{mercredi,samedi}",Non,"MULTIPOLYGON (((0.2040525100645604 10.862413134445502, 0.2042454379272838 10.862757097144751, 0.2055246980631875 10.86183306086021, 0.2051774279102855 10.861422053265937, 0.2040525100645604 10.862413134445502)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bbc,Maritime,Golfe,Golfe 2,Bè-Centre,Attiegou,Marché de Bè,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",Oui,"MULTIPOLYGON (((1.2642946428071795 6.191238337000797, 1.2641410269293591 6.190437788488056, 1.2643714507460888 6.190398376837632, 1.2648549304172927 6.190308837934151, 1.264869432994954 6.190391139069374, 1.2652929182445154 6.190304936986954, 1.2654286345856218 6.191032032371471, 1.2650378217885487 6.191114486424051, 1.2642946428071795 6.191238337000797)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bbb,Maritime,Golfe,Golfe 1,Bè-Est,Adakpame,Marché Adakpame Station,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",Non,"MULTIPOLYGON (((1.291029345170054 6.170505515344685, 1.2910602438768926 6.170597674415513, 1.2898688900682467 6.1710855421225, 1.2898420672311268 6.170978872480219, 1.2897025884781024 6.170445523946747, 1.2897991506917346 6.170397522552406, 1.289884983770519 6.17074953267661, 1.289895712905367 6.170850868881143, 1.2899279003099111 6.170936204617298, 1.2899439940121828 6.170829534944958, 1.2909847200924418 6.17045619092268, 1.2908774287439617 6.170472191386169, 1.2909900846598656 6.170424189994245, 1.2907379499909368 6.170093513620619, 1.2897776924220379 6.170424189994245, 1.2898474317985498 6.170541526722389, 1.2906843043166962 6.17026951881291, 1.291029345170054 6.170505515344685)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bba,Maritime,Golfe,Golfe 1,Bè-Est,Djifa-kpota,Marché de Djifa-kpota,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",Non,"MULTIPOLYGON (((1.2698988883770657 6.1655897955054835, 1.2698141248570347 6.164820247405512, 1.2704944636362288 6.165175082403003, 1.2704989248741256 6.1655676183424335, 1.2698988883770657 6.1655897955054835)))"
