FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,marche_nom,jour,organisme,geometry
_mview_marche_marches.fid--c72d8f_193db82c344_-5b22,Plateaux,Agou,Agou 1,Agou-Akplolo,Carrefour Akplolo,Marché Akplolo,{jeudi},Oui,"MULTIPOLYGON (((0.770395 6.889123333333333, 0.7712333333333333 6.889643333333334, 0.7711749999999999 6.889735, 0.770885 6.889520000000001, 0.770765 6.889793333333333, 0.7706216666666666 6.889791666666667, 0.7705733333333333 6.889336666666666, 0.770395 6.889123333333333)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b21,Plateaux,Agou,Agou 1,Agou-Akplolo,Akplolo Wogboe,Marché Rural Des Fruits de La Scoops Novinyo,"{lundi,mardi,mercredi,jeudi}",Non,"MULTIPOLYGON (((0.7712178773202327 6.8910403511733875, 0.7711258208235809 6.890935143748644, 0.7711806163573022 6.890888019589642, 0.7712693851219307 6.8909932270143885, 0.7712178773202327 6.8910403511733875)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b20,Plateaux,Agou,Agou 1,Agou-Iboé,Avedze,Petit Marché d'avedze,"{mardi,vendredi}",Non,"MULTIPOLYGON (((0.7794383333333333 6.865021666666666, 0.7795713826038326 6.86491459945295, 0.7793610789182047 6.864665668559758, 0.779137899496722 6.864897431805144, 0.7794383333333333 6.865021666666666)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b1f,Plateaux,Agou,Agou 1,Agou-Nyogbo-Dzidjole,Aveme,Marché d'agou Nyogbo Sud,Nsp,Non,"MULTIPOLYGON (((0.7234443225698461 6.8805271360477755, 0.7232947782891683 6.880131911877411, 0.7238502284745438 6.879953882971844, 0.7239855304427764 6.88033486482976, 0.7234443225698461 6.8805271360477755)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b1e,Plateaux,Agou,Agou 1,Gadja,Avétonou,Marché d'avetonou,{mercredi},Non,"MULTIPOLYGON (((0.7970670086053253 6.7994255185977845, 0.7963389234815167 6.799894862727179, 0.7963389234815167 6.799894862727179, 0.7968597040008053 6.800753166828482, 0.7968597040008053 6.800753166828482, 0.7968597040008053 6.800753166828482, 0.7977118204700616 6.8001975148327665, 0.7970670086053253 6.7994255185977845)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b1d,Plateaux,Agou,Agou 1,Gadja,Zozokodzi,Marché de Zozokodzi,{lundi},Non,"MULTIPOLYGON (((0.8578002324546506 6.817137243578301, 0.8577830775923956 6.8169885681054225, 0.857886006765927 6.8169485400934935, 0.8579508140233357 6.816864671878022, 0.8580937712087958 6.816796052429002, 0.8581967003823272 6.816887545027695, 0.8581909820949088 6.81697331933897, 0.8582729442145726 6.8169447279018796, 0.8583186905139197 6.8170438448837976, 0.8579584384065598 6.817101027757981, 0.8578002324546505 6.817135337482492, 0.8578002324546506 6.817137243578301)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b1c,Plateaux,Agou,Agou 1,Agou-Tavié,Some,Marché de Klonou,"{vendredi,jeudi}",Non,"MULTIPOLYGON (((0.6785498757553555 6.834583421337784, 0.6788948668791672 6.834610373769332, 0.6789757241738107 6.834289639833913, 0.6785660472142842 6.8342788588612935, 0.6785498757553555 6.834583421337784)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b1b,Plateaux,Agou,Agou 2,Amoussou-Kopé,Glekope,Marché de Glekope,{lundi},Oui,"MULTIPOLYGON (((0.8233716666666666 6.7159949999999995, 0.823305 6.715748333333333, 0.8227833333333333 6.715628333333332, 0.8227233333333334 6.7160383333333336, 0.8227233333333334 6.7160383333333336, 0.8233716666666666 6.7159949999999995)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b1a,Plateaux,Agou,Agou 2,Amoussou-Kopé,Assito,Marché Assito,{jeudi},Oui,"MULTIPOLYGON (((0.846655 6.6631599999999995, 0.8465349999999999 6.663776666666666, 0.8472483333333333 6.663971666666667, 0.8472500000000001 6.663970000000001, 0.8474266666666667 6.663435, 0.8474266666666667 6.663435, 0.846655 6.6631599999999995)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b19,Plateaux,Akébou,Akébou 1,Kougnohou,Kougnohou,Marché de Kougnohou,{vendredi},Non,"MULTIPOLYGON (((0.7871966666666667 7.654818333333333, 0.7858011155231122 7.655105003611785, 0.7862433333333333 7.656173333333333, 0.786635067480816 7.655992364188958, 0.7868194130263896 7.656503477074977, 0.78762 7.656221666666666, 0.7871966666666667 7.654818333333333)))"
