FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,cooperative_type,cooperative_nom,geometry
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6737,Plateaux,Agou,Agou 1,Gadja,Gadjagan,"{Cooperative production,ESOP}",Vemianu,"MULTIPOLYGON (((0.7839716666666666 6.812213333333333, 0.7839924018629792 6.812248614795798, 0.783875 6.812314999999999, 0.783875 6.812314999999999, 0.783875 6.812314999999999, 0.783875 6.812314999999999, 0.7837716666666666 6.812521666666667, 0.7837716666666666 6.812521666666667, 0.7837716666666666 6.812521666666667, 0.7837716666666666 6.812521666666667, 0.7836333333333333 6.8126999999999995, 0.7836333333333333 6.8126999999999995, 0.7836333333333333 6.8126999999999995, 0.7836333333333333 6.8126999999999995, 0.7836333333333333 6.8126999999999995, 0.7835333333333333 6.812648333333334, 0.783535 6.8126500000000005, 0.783535 6.8126500000000005, 0.7833716666666667 6.812575, 0.7833716666666667 6.812575, 0.7833716666666667 6.812575, 0.7833716666666667 6.812575, 0.7833749999999999 6.812576666666667, 0.7833749999999999 6.812576666666667, 0.7833749999999999 6.812576666666667, 0.78327 6.812520000000001, 0.78327 6.812520000000001, 0.7832683333333333 6.812521666666667, 0.7832683333333333 6.812521666666667, 0.7832683333333333 6.812521666666667, 0.7832683333333333 6.812521666666667, 0.7831766666666666 6.8124633333333335, 0.7831766666666666 6.8124633333333335, 0.7831766666666666 6.8124649999999995, 0.7831783333333333 6.8124649999999995, 0.7831783333333333 6.8124649999999995, 0.7831783333333333 6.8124649999999995, 0.7830933333333333 6.8124150000000006, 0.7830933333333333 6.8124150000000006, 0.7830933333333333 6.8124150000000006, 0.7830933333333333 6.8124150000000006, 0.7830933333333333 6.8124150000000006, 0.78299 6.812373333333333, 0.78299 6.812373333333333, 0.7829499999999999 6.812351666666666, 0.7829499999999999 6.812351666666666, 0.7829499999999999 6.812351666666666, 0.7829499999999999 6.812351666666666, 0.7829499999999999 6.812351666666666, 0.7829499999999999 6.812351666666666, 0.7829499999999999 6.812351666666666, 0.7829499999999999 6.812351666666666, 0.7830816666666667 6.812166666666667, 0.7831266666666666 6.812091666666667, 0.7831266666666666 6.812091666666667, 0.783335 6.812124999999999, 0.7835516666666666 6.812155, 0.7835516666666666 6.812155, 0.7835516666666666 6.812155, 0.7835516666666666 6.812155, 0.783725 6.812180000000001, 0.783725 6.812180000000001, 0.783725 6.812180000000001, 0.783725 6.812180000000001, 0.783725 6.812180000000001, 0.783865 6.812198333333333, 0.7839257662337692 6.812214352342088, 0.7839257662337692 6.812214352342088, 0.7839265550038877 6.812214352342088, 0.7839716666666666 6.812213333333333)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6738,Plateaux,Agou,Agou 1,Gadja,Gadjagan,{Cooperative production},Lonlongnoyo,"MULTIPOLYGON (((0.7864533333333333 6.807853333333332, 0.7859716666666666 6.807753333333333, 0.7865233333333334 6.806996666666667, 0.7868716666666666 6.807100000000001, 0.7864533333333333 6.807853333333332)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6739,Plateaux,Agou,Agou 1,Gadja,GADJAGAN,{Cooperative production},Lonlongnoyo,"MULTIPOLYGON (((0.7868999999999999 6.80711, 0.7873116666666667 6.807230000000001, 0.7868333333333334 6.807905, 0.7864683333333333 6.807856666666667, 0.7868999999999999 6.80711)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_673a,Plateaux,Agou,Agou 1,Gadja,GADJAGAN,"{Cooperative production,tontine}",Djidodo,"MULTIPOLYGON (((0.7921433333333333 6.803275, 0.7924733333333334 6.80324, 0.7925183333333333 6.803206666666667, 0.793095 6.803235000000001, 0.7931166666666667 6.803245, 0.7934167392583452 6.803259067891866, 0.7934211038166796 6.803333265383549, 0.7933730936750026 6.803555857858596, 0.7933076252999889 6.80364314902528, 0.7933076252999889 6.80364314902528, 0.7932926978916675 6.804129743100268, 0.7931511982916527 6.804324576033617, 0.7919983333333334 6.804191666666666, 0.7921433333333333 6.803275)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_673b,Savanes,Oti-Sud,Oti-Sud 2,Koumongou,N/a,Nsp,Nsp,"MULTIPOLYGON (((0.4553433333333333 10.179945, 0.45524 10.17906, 0.4557033333333333 10.17907, 0.4558116666666667 10.17991, 0.4553433333333333 10.179945)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_673c,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Lakouda,{Cooperative production},Au Nom De Dieu,"MULTIPOLYGON (((0.9646316666666667 7.917796666666668, 0.9650916666666667 7.916969999999999, 0.9655616666666667 7.916945, 0.965245 7.9178, 0.965045 7.917823333333333, 0.9649249999999999 7.917820000000001, 0.9646316666666667 7.917796666666668)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_673d,Plateaux,Agou,Agou 1,Gadja,Gadjagan,"{Cooperative production,tontine}",Dzidodo,"MULTIPOLYGON (((0.7904583333333334 6.801384999999999, 0.7905816666666666 6.801208333333333, 0.7905816666666666 6.801208333333333, 0.7905866666666667 6.801206666666667, 0.7906283333333334 6.801141666666666, 0.7906283333333334 6.801141666666666, 0.7906283333333334 6.801141666666666, 0.7909966666666667 6.801211666666667, 0.7909966666666667 6.801211666666667, 0.7909966666666667 6.801211666666667, 0.7910016666666666 6.801213333333334, 0.7910016666666666 6.801213333333334, 0.7910016666666666 6.801213333333334, 0.7910083333333334 6.801215, 0.7912166666666667 6.80124, 0.7912166666666667 6.80124, 0.7912166666666667 6.80124, 0.7912166666666667 6.80124, 0.7912166666666667 6.80124, 0.7912199999999999 6.801236666666667, 0.7913 6.801233333333332, 0.7913066666666667 6.801233333333332, 0.7913066666666667 6.801233333333332, 0.7913066666666667 6.801233333333332, 0.7913066666666667 6.801233333333332, 0.79146 6.8013016666666655, 0.79146 6.8013016666666655, 0.79146 6.8013016666666655, 0.7914650000000001 6.8012999999999995, 0.7914650000000001 6.8012999999999995, 0.7916183333333334 6.801251666666667, 0.7916183333333334 6.801251666666667, 0.7916183333333334 6.801251666666667, 0.7916183333333334 6.801251666666667, 0.7916183333333334 6.801251666666667, 0.7916316666666667 6.801251666666667, 0.7918183333333333 6.801261666666666, 0.7918183333333333 6.801261666666666, 0.7918183333333333 6.801261666666666, 0.7918183333333333 6.801258333333334, 0.7918183333333333 6.801258333333334, 0.7918183333333333 6.801258333333334, 0.7919916666666666 6.801245, 0.7919916666666666 6.801245, 0.7919916666666666 6.801245, 0.7919916666666666 6.801245, 0.7919916666666666 6.801245, 0.7919916666666666 6.801245, 0.7921783333333334 6.801228333333334, 0.7921783333333334 6.801228333333334, 0.7921783333333334 6.801228333333334, 0.7921783333333334 6.801228333333334, 0.7921783333333334 6.801228333333334, 0.7921783333333334 6.801228333333334, 0.7924266666666667 6.801226666666667, 0.7924266666666667 6.801226666666667, 0.7924266666666667 6.801226666666667, 0.7924316666666668 6.801226666666667, 0.7924316666666668 6.801226666666667, 0.79272 6.801218333333333, 0.79272 6.801218333333333, 0.79272 6.801218333333333, 0.7927583333333333 6.8012500000000005, 0.7927583333333333 6.8012500000000005, 0.7927583333333333 6.8012500000000005, 0.7928149999999999 6.801473333333333, 0.7928149999999999 6.801473333333333, 0.7928149999999999 6.801473333333333, 0.7928149999999999 6.801473333333333, 0.7928783333333332 6.801631666666666, 0.7928783333333332 6.801631666666666, 0.7928816666666666 6.801633333333332, 0.7928816666666666 6.801633333333332, 0.7928816666666666 6.801633333333332, 0.7928933333333333 6.801686666666666, 0.7928933333333333 6.801686666666666, 0.7928933333333333 6.801690000000001, 0.7928933333333333 6.801690000000001, 0.792551695881364 6.80162701372322, 0.7921923763554146 6.8015665341990506, 0.7920173630840888 6.801538005124587, 0.791763616264326 6.801491541532847, 0.7914603436461796 6.801459618099357, 0.7909682716906704 6.801412384756746, 0.7904583333333334 6.801384999999999)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_673e,Plateaux,Agou,Agou 1,Gadja,AVETONOU,{Cooperative production},Esperance,"MULTIPOLYGON (((0.7915483333333333 6.801511666666666, 0.7914733333333334 6.802318333333333, 0.7910033333333334 6.802226666666667, 0.7910033333333334 6.802226666666667, 0.7910766666666667 6.80147, 0.7915483333333333 6.801511666666666)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_673f,Plateaux,Agou,Agou 1,Gadja,AVETONOU,{Cooperative production},Novissi,"MULTIPOLYGON (((0.7891883333333334 6.807155, 0.789165 6.807401666666667, 0.787985 6.80729, 0.787985 6.80729, 0.787395 6.807281666666667, 0.787395 6.807281666666667, 0.7876266666666666 6.80689, 0.7891883333333334 6.807155)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6740,Plateaux,Agou,Agou 1,Gadja,AVETONOU,{Cooperative production},Novissi,"MULTIPOLYGON (((0.7922473991800629 6.8054399517873945, 0.7928953057949102 6.805507506031595, 0.7930488381680967 6.804617018267113, 0.7923518011938295 6.80456481726023, 0.7922473991800629 6.8054399517873945)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6741,Plateaux,Agou,Agou 1,Gadja,AVETONOU,{Cooperative production},Dzidodo,"MULTIPOLYGON (((0.7929099999999999 6.805493333333334, 0.7927366666666666 6.806538333333333, 0.7933950000000001 6.806726666666666, 0.793475 6.806653333333332, 0.793535 6.806425, 0.7935 6.806335, 0.7934966666666666 6.806245, 0.7934516666666667 6.806058333333334, 0.7933633333333333 6.805895, 0.7933116666666666 6.805818333333334, 0.793255 6.805763333333334, 0.7931516666666667 6.805693333333333, 0.7929966666666667 6.805591666666667, 0.7929183333333333 6.805513333333333, 0.7929099999999999 6.805493333333334)))"
