FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,exploitation_nom,exploitation_annee,terrain,geometry
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20c7,Plateaux,Akébou,Akébou 2,Kamina-Akébou,KAMINA,Plantation Agbedji,2008,Prive - individuel,POINT (0.8734565078169158 7.946477971832515)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20c8,Plateaux,Akébou,Akébou 2,Kamina-Akébou,KOTOKOU,Plantation Tchala,2005,Prive - individuel,POINT (0.8604533333333334 7.88908)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20c9,Plateaux,Akébou,Akébou 2,Kamina-Akébou,AGBEDJI,Plantation Biga,2016,Prive - individuel,POINT (0.9254016666666666 7.933778333333334)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20ca,Plateaux,Akébou,Akébou 2,Kamina-Akébou,WAWA CENTRE,Plantation Kaka,1991,Prive - individuel,POINT (0.8670916666666667 7.963033333333334)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20cb,Plateaux,Akébou,Akébou 2,Kamina-Akébou,KOTOKOU,Plantation Tchala,2005,Prive - individuel,POINT (0.8588016666666667 7.887834999999999)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20cc,Plateaux,Haho,Haho 2,Djemegni,SOGBEHOE,Plantation Sogbe,2019,Prive - individuel,POINT (1.3731932120950328 6.9581019443032535)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20cd,Plateaux,Haho,Haho 2,Djemegni,AGBEDOUGBE,Plantation Ebenezer,2015,Prive - individuel,POINT (1.2754403628986568 7.007871790045049)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20ce,Plateaux,Haho,Haho 2,Djemegni,HOUTOYENOU,Plantation Anouma,1992,Prive - individuel,POINT (1.2634333333333334 6.944450000000001)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20cf,Plateaux,Haho,Haho 2,Djemegni,AGBEDOUGBE,Plantation Kpodeme,2014,Prive - individuel,POINT (1.2787100525934265 6.98941824275004)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20d0,Plateaux,Haho,Haho 2,Djemegni,KOUKAZOKOPE,Plantation Koukazo,1985,Prive - individuel,POINT (1.2708774581391546 6.9555316492932375)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20d1,Plateaux,Haho,Haho 2,Djemegni,KOUKAZOKOPE,Plantation Koukazo,2013,Prive - individuel,POINT (1.2681816666666668 6.95462)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20d2,Plateaux,Haho,Haho 2,Djemegni,TCHAOKOPE,Plantation Tchao,2012,Prive - individuel,POINT (1.2678349999999998 6.969709999999999)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20d3,Plateaux,Haho,Haho 2,Djemegni,TSAGBA,Plantation Medeou,2014,Prive - individuel,POINT (1.3505218786820186 6.980533802657059)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20d4,Plateaux,Haho,Haho 2,Djemegni,AVETCHOU COPE,Plantation Attigle,1974,Prive - individuel,POINT (1.27178 6.970206666666667)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20d5,Plateaux,Haho,Haho 2,Djemegni,AGBEDOUGBE,Plantation Afanou,2014,Prive - individuel,POINT (1.270705 6.991733333333333)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20d6,Plateaux,Haho,Haho 2,Djemegni,KPOVEGAN,Plantation Bonde,1987,Prive - individuel,POINT (1.2904671166214945 6.952563226605844)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20d7,Plateaux,Haho,Haho 2,Djemegni,WEDEME,Plantation Sotoume,1992,Prive - individuel,POINT (1.2992725816371242 6.94374048155624)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20d8,Plateaux,Haho,Haho 2,Djemegni,KPOVE,Plantation God To Be Glory,2016,Prive - individuel,POINT (1.2652495940416848 6.972377028052188)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20d9,Plateaux,Haho,Haho 2,Djemegni,GNASSIVE,Plantation Lakpo,1998,Prive - individuel,POINT (1.2323716666666666 6.905203333333333)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20da,Plateaux,Haho,Haho 2,Djemegni,TCHAVE,Plantation Ekpe,2008,Prive - individuel,POINT (1.3061046474333313 6.939146534784453)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20db,Plateaux,Haho,Haho 2,Djemegni,ATITSOHOE,Plantation Akpi,1980,Prive - individuel,POINT (1.2343141510557736 6.905158646250039)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20dc,Plateaux,Amou,Amou 1,Adiva,ADIVA TODJI,Plantation Tetou,2007,Prive - individuel,POINT (1.014086957416448 7.5138815222104745)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20dd,Plateaux,Amou,Amou 1,Adiva,OUNABE,Plantation Adjassem,1960,Prive - individuel,POINT (0.995140377262475 7.537767464594119)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20de,Plateaux,Amou,Amou 1,Adiva,OUNABE,Plantation Edoutcho,2007,Prive - individuel,POINT (0.9967889461409704 7.53589000970247)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20df,Plateaux,Amou,Amou 1,Adiva,OUNABE,Plantation Nouleagbessi,2020,Prive - individuel,POINT (0.9847765211173092 7.537753441623928)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20e0,Plateaux,Amou,Amou 1,Imlè-Adiva,OUKLE,Plantation Tomikpe,2010,Prive - Collectivite coutumiere,POINT (0.9999100626141362 7.461452469173852)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20e1,Plateaux,Amou,Amou 1,Imlè-Adiva,DEDOME,Plantation Kadatcha,2013,Prive - individuel,POINT (0.982545 7.506513333333333)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20e2,Plateaux,Amou,Amou 1,Imlè-Adiva,ADIFOU,Plantation Missa,2005,Prive - individuel,POINT (0.9720888279672503 7.489088868252151)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20e3,Plateaux,Amou,Amou 1,Amlamé (Ouma),ADAMKOPE,Plantation Teyo,2019,Prive - individuel,POINT (0.9201396117421308 7.402469263098633)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20e4,Plateaux,Amou,Amou 1,Amlamé (Ouma),ONÈ,Plantation Bidifai,2018,Prive - individuel,POINT (0.8921784702528907 7.419782901421922)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20e5,Plateaux,Amou,Amou 1,Amlamé (Ouma),ONE,Plantation Boukari,2016,Prive - individuel,POINT (0.8926469380440465 7.422816792541941)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20e6,Plateaux,Amou,Amou 1,Amlamé (Ouma),KPETE,Plantation Dokouno,2019,Prive - individuel,POINT (0.8817925264061006 7.413371054562747)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20e7,Plateaux,Amou,Amou 1,Amlamé (Ouma),KPETE,Plantation Dalande,2020,Prive - individuel,POINT (0.8905678500924762 7.413501296411383)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20e8,Plateaux,Amou,Amou 2,Kpatégan,EDO KOPÉ,Plantation Gbk,2017,Prive - individuel,POINT (0.9569911670290825 7.354486009091691)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20e9,Plateaux,Amou,Amou 2,Kpatégan,Kpatikope,Plantation Itapi,1995,Prive - individuel,POINT (1.1064545211573045 7.352986372997925)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20ea,Plateaux,Amou,Amou 2,Kpatégan,Kpati-cope,Plantation Kpodjoro,1994,Prive - individuel,POINT (1.1174223097037976 7.364411565558425)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20eb,Plateaux,Amou,Amou 2,Kpatégan,IDOH KOPE,Plantation Oukpo,2005,Prive - individuel,POINT (0.955924038905412 7.359810293253373)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20ec,Plateaux,Amou,Amou 2,Kpatégan,Kpatikope,Plantation Kodjro,2005,Prive - individuel,POINT (1.109712908032524 7.355920767780131)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20ed,Plateaux,Amou,Amou 2,Kpatégan,Kpatikope,Plantation Kodjro,2013,Prive - individuel,POINT (1.1098670283102468 7.351734565573518)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20ee,Plateaux,Amou,Amou 2,Amou-Oblo,AMOU-OBLO,Plantation Simteyele,1999,Prive - individuel,POINT (0.90473898116923 7.382375078614985)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20ef,Plateaux,Amou,Amou 2,Amou-Oblo,ELO,Plantation Gbk,2013,Prive - individuel,POINT (0.9359536954352253 7.339933880426308)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20f0,Plateaux,Amou,Amou 2,Amou-Oblo,AMOU-OBLO,Plantation Awui,1989,Prive - individuel,POINT (0.9072399105701539 7.385378413814099)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20f1,Plateaux,Amou,Amou 3,Evou,Adigo,Plantation Djitonou,1998,Prive - individuel,POINT (1.0383121940934465 7.534441740424061)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20f2,Plateaux,Amou,Amou 3,Evou,YAO-KOPE,Plantation Agbegnon,2005,Prive - individuel,POINT (1.0319240592010799 7.513789778822349)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20f3,Plateaux,Amou,Amou 3,Evou,OUGBOHO,Plantation Agbemedi,2000,Prive - individuel,POINT (1.0475542532211615 7.541576046261745)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20f4,Plateaux,Amou,Amou 3,Evou,YAO-KOPE,Plantation Toulassi,1985,Prive - individuel,POINT (1.0354351262588877 7.533848545091339)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20f5,Plateaux,Amou,Amou 3,Evou,NAYOBE,Plantation Foukemou,1997,Prive - individuel,POINT (1.0465333532098022 7.537323249678792)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20f6,Plateaux,Amou,Amou 3,Evou,ODJOLO,Plantation Odoh,1996,Prive - individuel,POINT (1.021026396739449 7.535883640078274)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20f7,Plateaux,Amou,Amou 3,Gamé,YADE-ALIFI,Plantation Yade-alifi,2015,Prive - individuel,POINT (1.0029141351810358 7.697764634652375)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20f8,Plateaux,Amou,Amou 3,Gamé,ILLICO TOMEGBE,Plantation deluge de Noé,2015,Prive - individuel,POINT (1.074705 7.74042)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20f9,Plateaux,Amou,Amou 3,Avédjè,Loto,Plantation Tonto,1998,Prive - individuel,POINT (1.1283004162803085 7.4175769042237585)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20fa,Plateaux,Amou,Amou 3,Otadi,YADÈ-APEGAMÉ,Plantation Champs de Café,1980,Prive - individuel,POINT (1.0011866666666667 7.6802150000000005)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20fb,Plateaux,Amou,Amou 3,Otadi,ITOKOUBE,Plantation Champ du Café,1984,Prive - individuel,POINT (1.0603266666666669 7.648155000000001)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20fc,Plateaux,Amou,Amou 3,Otadi,YADE-ALIFI,Plantation Yade-alifi,2001,Prive - individuel,POINT (0.9927833333333334 7.6824449999999995)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20fd,Plateaux,Amou,Amou 3,Hihéatro,DEME,Plantation deme,1994,Prive - individuel,POINT (1.06647 7.6105)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20fe,Plateaux,Amou,Amou 3,Hihéatro,DEME,Plantation deme,1994,Prive - individuel,POINT (1.0667733333333334 7.608360000000001)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_20ff,Plateaux,Amou,Amou 3,Hihéatro,APEDOME,Plantation Kpossogna,2012,Prive - individuel,POINT (1.04316349591936 7.602521879081636)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2100,Plateaux,Amou,Amou 3,Hihéatro,DEME,Plantation deme,2012,Prive - individuel,POINT (1.0791216666666665 7.595363333333334)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2101,Plateaux,Amou,Amou 3,Hihéatro,OWANIBE,Plantation Koussomi,1984,Prive - individuel,POINT (1.0903566666666669 7.626459999999999)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2102,Plateaux,Amou,Amou 3,Okpahoé,Okpahoue,Plantation Amato,2011,Prive - individuel,POINT (1.0188076647922706 7.61135176100369)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2103,Plateaux,Amou,Amou 3,Okpahoé,Apedome,Plantation Yawo,2001,Prive - individuel,POINT (1.0408044680137383 7.602148761474799)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2104,Plateaux,Amou,Amou 3,Okpahoé,APEDOME,Plantation Togbenou,2000,Prive - individuel,POINT (1.0418085192891706 7.59329993478629)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2105,Plateaux,Amou,Amou 3,Okpahoé,APEDOME,Plantation Togbenou,1968,Prive - individuel,POINT (1.0422880591510046 7.592218573940231)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2106,Plateaux,Amou,Amou 3,Okpahoé,OKPAHOUE,Plantation Idoh,2008,Prive - individuel,POINT (1.0175839580319275 7.609612834680728)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2107,Plateaux,Amou,Amou 3,Okpahoé,OUGBO,Plantation Amegan Komlan,2005,Prive - individuel,POINT (1.0235685576136606 7.604279071588463)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2108,Plateaux,Amou,Amou 3,Okpahoé,OUGBO,Plantation Tognike,2005,Prive - individuel,POINT (1.023822290070237 7.602900771709865)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2109,Plateaux,Amou,Amou 3,Okpahoé,OUGBO,Plantation Apedo,1986,Prive - individuel,POINT (1.0166225224614225 7.6070843502808625)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_210a,Plateaux,Amou,Amou 3,Okpahoé,OUGBO,Plantation Apedo,1986,Prive - individuel,POINT (1.0178449874560695 7.608374041542136)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_210b,Plateaux,Amou,Amou 3,Okpahoé,Okpakou,Plantation Toulassi,2012,Prive - individuel,POINT (1.0314395337679265 7.623548278095974)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_210c,Plateaux,Amou,Amou 3,Témédja,OMOUVA,Plantation Issifou,2006,Prive - individuel,POINT (1.0450736946991543 7.4505754083867295)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_210d,Plateaux,Amou,Amou 3,Avédjè,LOTO,Plantation Ekpetche,Nsp,Prive - individuel,POINT (1.1332634440660474 7.426912272381773)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_210e,Plateaux,Amou,Amou 3,Avédjè,LOTO,Plantation Penesi,Nsp,Prive - individuel,POINT (1.1304696972609583 7.432982322441351)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_210f,Plateaux,Amou,Amou 3,Avédjè,Tchokple,Plantation Bize,2015,Prive - individuel,POINT (1.112467990491887 7.410034655703246)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2110,Plateaux,Anié,Anié 2,Adogbénou,AFOLE,Plantation Adaou,2000,Prive - individuel,POINT (1.6068171955560935 7.811774147821155)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2111,Plateaux,Amou,Amou 3,Avédjè,TCHOKPLE,Plantation Somenou,1950,Prive - individuel,POINT (1.1136396659657741 7.405214037079193)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2112,Plateaux,Amou,Amou 3,Avédjè,ATIGOZO,Plantation Koutchetan,1976,Prive - individuel,POINT (1.1371042555825859 7.450141669451333)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2113,Plateaux,Amou,Amou 3,Avédjè,ATIGOZO-AMOUTCHOU,Plantation Agbetowofana,1995,Prive - individuel,POINT (1.1350970535320324 7.437102497667847)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2114,Plateaux,Amou,Amou 3,Avédjè,AGBODOMOGI,Plantation Sewoavi,1990,Prive - individuel,POINT (1.1338522855219288 7.440529177992363)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2115,Plateaux,Amou,Amou 3,Avédjè,ADJIGO,Plantation Kemavor,1996,Prive - individuel,POINT (1.1365819435926727 7.361972459066419)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2116,Plateaux,Amou,Amou 3,Avédjè,OKAFOU,Plantation Okafou 2,2002,Prive - individuel,POINT (1.1155894347959006 7.4609326385492825)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2117,Plateaux,Amou,Amou 3,Avédjè,OKAFOU,Plantation Sigobetou,1982,Prive - individuel,POINT (1.1127401892698057 7.457448717215092)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2118,Plateaux,Amou,Amou 3,Avédjè,OKAFOU,Plantation Yovo,1950,Prive - individuel,POINT (1.0991540397273265 7.456873746435065)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2119,Plateaux,Amou,Amou 3,Avédjè,AVEDJE ITADI,Plantation Ogou,1980,Prive - individuel,POINT (1.1236418808846729 7.449665796803686)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_211a,Plateaux,Amou,Amou 3,Avédjè,AVEDJE,Plantation Apedo,1996,Prive - individuel,POINT (1.1304469089298876 7.461904510171731)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_211b,Plateaux,Anié,Anié 2,Atchinédji,AYORE,Plantation Kaporane,1996,Prive - individuel,POINT (1.417521905619176 7.635785763662698)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_211c,Plateaux,Anié,Anié 2,Adogbénou,AGBOTA,Plantation Koulodi,Nsp,Prive - individuel,POINT (1.623089484056942 7.874749222521408)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_211d,Plateaux,Amou,Amou 3,Avédjè,AVEDJE,Plantation Eya,2016,Prive - individuel,POINT (1.1286503984132674 7.4665528064707685)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_211e,Plateaux,Amou,Amou 3,Avédjè,Mamakopé,Plantation Faranda,2017,Prive - individuel,POINT (1.0741666666666667 7.461868333333332)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_211f,Plateaux,Amou,Amou 3,Avédjè,LOTO,Plantation Agbemegi,Nsp,Prive - individuel,POINT (1.1318476824696042 7.427112915230056)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2120,Plateaux,Amou,Amou 3,Avédjè,LOTO,Plantation Adjade,1999,Prive - individuel,POINT (1.131279392974193 7.430538025126455)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2121,Plateaux,Amou,Amou 3,Avédjè,TCHOKPLE,Plantation Djinadou,Nsp,Prive - individuel,POINT (1.1077630777045797 7.3983761208862004)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2122,Plateaux,Amou,Amou 3,Avédjè,TCHOKPLE,Plantation Melafo,2012,Prive - individuel,POINT (1.115165 7.407091666666668)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2123,Plateaux,Amou,Amou 3,Avédjè,Loto,Plantation Ayegbemi,1999,Prive - individuel,POINT (1.13049294510528 7.4242953212952125)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2124,Plateaux,Amou,Amou 3,Avédjè,Atigozo,Plantation Poutchetan,1976,Prive - individuel,POINT (1.1386737016938582 7.4535870008189296)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2125,Plateaux,Amou,Amou 3,Avédjè,Loto,Plantation Atcho,1999,Prive - individuel,POINT (1.1256216406276034 7.411977346265111)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2126,Plateaux,Amou,Amou 3,Avédjè,Loto,Plantation Komla,1998,Prive - individuel,POINT (1.1243376644858685 7.417953195050889)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2127,Plateaux,Amou,Amou 3,Avédjè,Avedje,Plantation Koumassi,2015,Prive - individuel,POINT (1.145708974772996 7.456247792159395)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2128,Plateaux,Amou,Amou 3,Avédjè,LOTO,Plantation dedewe,1948,Prive - Collectivite coutumiere,POINT (1.1251613371914846 7.425147143495888)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2129,Plateaux,Amou,Amou 3,Avédjè,Loto,Plantation Adjade,1980,Prive - individuel,POINT (1.1262683539858833 7.425075713884569)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_212a,Plateaux,Amou,Amou 3,Avédjè,TCHOKPLE,Plantation Ekpetchou,2017,Prive - individuel,POINT (1.1029668462825435 7.398989615340058)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_212b,Plateaux,Amou,Amou 3,Avédjè,ADJIGO,Plantation Akande,1997,Prive - individuel,POINT (1.1309896895702152 7.388001393402909)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_212c,Plateaux,Amou,Amou 3,Avédjè,OKAFOU,Plantation Akortande,2005,Prive - individuel,POINT (1.1065295509069917 7.448846486762955)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_212d,Plateaux,Amou,Amou 3,Avédjè,OKAFOU,Plantation Motekpe,1982,Prive - individuel,POINT (1.1083494916084613 7.445406617167287)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_212e,Plateaux,Amou,Amou 3,Avédjè,AVEDJE ITADI,Plantation Apedoh,2015,Prive - individuel,POINT (1.1242246982538324 7.467426098562778)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_212f,Plateaux,Amou,Amou 3,Avédjè,AVEDJE,Plantation Apedo,2015,Prive - individuel,POINT (1.1317542679623376 7.460649976659066)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2130,Plateaux,Amou,Amou 3,Avédjè,AVEDJE,Plantation Eya,2016,Prive - individuel,POINT (1.129705848625354 7.45576786389894)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2131,Plateaux,Anié,Anié 1,Pallakoko,EDJERE,Plantation Ayena,1988,Prive - individuel,POINT (1.1508022440476195 7.971015769410842)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2132,Plateaux,Anié,Anié 2,Adogbénou,AGBOTA,Plantation Adjeguede,Nsp,Prive - individuel,POINT (1.6215975775322782 7.871846896461639)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2133,Plateaux,Anié,Anié 2,Adogbénou,AFOLE,Plantation Kassegne,1989,Prive - individuel,POINT (1.5927832519882041 7.8130967334694805)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2134,Plateaux,Anié,Anié 2,Adogbénou,AFOLE,Plantation Amadou,2000,Prive - individuel,POINT (1.6057338948530544 7.809983878332631)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2135,Plateaux,Anié,Anié 2,Adogbénou,AFOLE,Plantation d'Anacades Ayena,1994,Prive - individuel,POINT (1.609427682998824 7.817666717682991)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2136,Plateaux,Anié,Anié 2,Adogbénou,AFOLE,Plantation d'Anacades Akoda,1992,Prive - individuel,POINT (1.6160012147066394 7.833378419459408)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2137,Plateaux,Anié,Anié 2,Adogbénou,AGBOTA,Plantation d'AnacadesAdjeguede,1993,Prive - individuel,POINT (1.618281582794206 7.876972313798456)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2138,Plateaux,Anié,Anié 2,Adogbénou,OKE-LOUKOUTOU,Plantation d'Anacades Ore,2000,Prive - individuel,POINT (1.4640551367851624 7.73841961885708)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2139,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,BEME TOUSSI-APEDOME,Plantation de Egbare,2011,Prive - individuel,POINT (0.7001055648018188 7.097722227987406)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_213a,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,BEME,Plantation Aba,2006,Prive - individuel,POINT (0.7226616666666666 7.085920000000001)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_213b,Plateaux,Anié,Anié 2,Atchinédji,KOUNOU- COPE,Plantation Anarcade,2017,Prive - individuel,POINT (1.3677478192253907 7.653143599376002)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_213c,Plateaux,Anié,Anié 2,Atchinédji,KOUNOU-COPE,Plantation Techeraie,2016,Prive - individuel,POINT (1.3656296682654807 7.656960237732885)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_213d,Plateaux,Anié,Anié 2,Atchinédji,ATCHINEDJI,Plantation d'Anacades Amouzou,2007,Prive - individuel,POINT (1.420242120951381 7.6938587369405775)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_213e,Plateaux,Anié,Anié 2,Atchinédji,TCHAMIN,Plantation Adossou,2004,Prive - individuel,POINT (1.390611852232886 7.6543808719206154)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_213f,Plateaux,Anié,Anié 2,Atchinédji,DEGLA-COPE,Plantation Elonou,1998,Prive - individuel,POINT (1.436519456692218 7.699996506172064)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2140,Plateaux,Anié,Anié 2,Atchinédji,ATCHINEDJI,Plantation Amouzou,1991,Prive - individuel,POINT (1.4215152534074813 7.68818119910065)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_2141,Plateaux,Anié,Anié 2,Atchinédji,ATCHINEDJI,Plantation Ayena,1997,Prive - individuel,POINT (1.4217856208647803 7.689853204772858)
