FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,exploitation_nom,exploitation_annee,terrain,geometry
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1dde,Centrale,Blitta,Blitta 3,Tchifama,KIKINDRE,Plantation Souleymane,2017,Prive - individuel,POINT (0.78131 8.174923333333334)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1ddf,Plateaux,Kloto,Kloto 2,Kpimé,AGOTIME-COPE,Plantation Awadi,2012,autre,POINT (0.5991641317905971 7.044304170473859)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1de0,Plateaux,Kloto,Kloto 2,Kpimé,AGOTIME-COPE,Plantation Ete-komi,2012,autre,POINT (0.5997828070723775 7.044877266472747)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1de1,Centrale,Blitta,Blitta 3,Atchintsè,Assoukoko,Plantation de Banane Plantain de Gbatti,2004,Prive - individuel,POINT (0.6772689297228834 8.011765195325648)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1de2,Plateaux,Kloto,Kloto 2,Kpimé,AGOTIME-COPE,Plantation Atsu,2002,autre,POINT (0.6014425234012449 7.0455668976300805)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1de3,Centrale,Blitta,Blitta 3,Dikpéléou,WADJILA,Plantation de Tecks de Nayo,2018,Prive - individuel,POINT (0.6118483333333333 8.196959999999999)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1de4,Plateaux,Kloto,Kloto 3,Kouma,DOVOTA,Plantation Adamou,2000,Prive - individuel,POINT (0.5948995354128395 7.004193977426158)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1de5,Centrale,Sotouboua,Sotouboua 2,Séssaro,HEMBELA,Plantation Ali,1998,Prive - individuel,POINT (1.2475305318631933 8.62550286893402)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1de6,Plateaux,Kloto,Kloto 2,Kpimé,DOVOTA,Plantation Awesso,2020,Prive - individuel,POINT (0.5940757220410418 7.026530587151066)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1de7,Centrale,Sotouboua,Sotouboua 3,Kazaboua,KAZA-KPALEWAI,Plantation Todiba,2019,Prive - individuel,POINT (1.1779314957011846 8.416495049219176)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1de8,Plateaux,Kloto,Kloto 1,Kpadapé,SEVENOKOPE,Plantation Atidepe,2017,Prive - individuel,POINT (0.5763564491328292 6.80127858810774)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1de9,Centrale,Tchaoudjo,Tchaoudjo 4,Agouloudè,AGBANDAOUDE,Plantation Salifou,2009,Prive - individuel,POINT (1.3882333052840832 9.22951984547666)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1dea,Centrale,Tchaoudjo,Tchaoudjo 4,Agouloudè,AGBANDAOUDE,Plantation Kpekpassi,1997,Prive - individuel,POINT (1.3873275972332708 9.232189827909554)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1deb,Centrale,Tchaoudjo,Tchaoudjo 4,Agouloudè,AGBANDAOUDE,Plantation Adam,2003,Prive - individuel,POINT (1.3880790782664147 9.233424602556788)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1dec,Plateaux,Danyi,Danyi 2,Ahlon,KOUSSOUNTOU,Plantation N'dandje,1982,Prive - individuel,POINT (0.6355966666666667 7.223648333333333)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1ded,Plateaux,Danyi,Danyi 2,Ahlon,KOUSSOUNTOU,Plantation N'dandje Kokou,1990,Prive - individuel,POINT (0.6364683993954056 7.223802754579774)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1dee,Centrale,Tchamba,Tchamba 1,Affem,AFFEM CARREFOUR,Plantation d'Anacades Adjeou,2005,Prive - individuel,POINT (1.5009138782051767 9.098115927383352)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1def,Centrale,Tchamba,Tchamba 3,Kaboli,KPORO BOUA,Plantation d'Anacades Affokoumai,2000,Prive - individuel,POINT (1.4805766666666667 8.760695)
