FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,cooperative_nom,cooperative_statut,cooperative_type,geometry
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-670a,Maritime,Lacs,Lacs 4,Fiata,Ganave,Coopérative Scoops Novi Va De Tokpo,{Cooperative transformation},Nsp,POINT (1.6367383333333299 6.309665)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6709,Maritime,Yoto,Yoto 3,Gboto,Gboto Zeve,Coopérative Scoops Difa,{Cooperative production},Nsp,POINT (1.4768700000000006 6.705631666666671)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6708,Plateaux,Kloto,Kloto 1,Kpadapé,Kpadape,Coopérative Union Des Sociétés Coopératives Des Productions De Café- Cacao Kloto Centre,{Cooperative production},Nsp,POINT (0.5927942524668433 6.84148270820901)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6707,Centrale,Sotouboua,Sotouboua 3,Kazaboua,Abijande,Coopérative Association Pouwedeou De Abidjande,{Cooperative production},Nsp,POINT (1.1349466666666712 8.37442666666666)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6706,Savanes,Oti-Sud,Oti-Sud 2,Takpamba,Takpamba,Coopérative Lagmtaaba,{Cooperative production},Nsp,POINT (0.5741563092615506 9.969408705870357)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6705,Savanes,Tandjoaré,Tandjoaré 1,Bombouaka,Kounkogou,Coopérative Scoops Bouam,Nsp,Nsp,POINT (0.2105624974786453 10.702569911970897)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6704,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Akoin,Coopérative Association Noussindodo,Nsp,Nsp,POINT (1.199145 6.27534833333333)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6703,Maritime,Avé,Avé 1,Assahoun,Amenoukpoe,Coopérative Espoir,"{Cooperative production,autre}",Cooperative simple,POINT (0.94455 6.478245)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6702,Maritime,Avé,Avé 1,Tovégan,Attielio,Coopérative Assilassime,{Cooperative production},Cooperative avec conseil d administration,POINT (0.8824799999999999 6.583098333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6701,Maritime,Avé,Avé 1,Edzi,Ando-kpegbè,Coopérative Gamessou,{Cooperative production},Nsp,POINT (0.8160783333333334 6.449489999999999)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6700,Savanes,Tône,Tône 1,Dapaong,Djangou,Coopérative Entente de Dkangou,{tontine},Nsp,POINT (0.249237373598686 10.811301527468014)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66ff,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Kleme,Coopérative Novilonlon,"{Cooperative production,entraide}",Cooperative avec conseil d administration,POINT (1.2469263336125616 6.267604591898409)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66fe,Maritime,Golfe,Golfe 4,Amoutivé,Amoutive,Coopérative Fondes,"{Cooperative production,Cooperative transformation,autre}",Nsp,POINT (1.2284461305222107 6.141423514656415)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66fd,Maritime,Golfe,Golfe 4,Amoutivé,Amoutive,Coopérative Sfsdff,Nsp,Nsp,POINT (1.2318785885821621 6.143228378221639)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66fc,Maritime,Vo,Vo 1,Vogan,Midawo Kopé,Coopérative Vevidodo,{tontine},Nsp,POINT (1.5156546609629664 6.385151447659517)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66fb,Maritime,Golfe,Golfe 5,Aflao-Gakli,Aflao-gakli,Coopérative luminaire,{Cooperative transformation},Cooperative simple,POINT (1.158838837275197 6.201587913914852)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66fa,Maritime,Zio,Zio 3,Agbélouvé,Kpevego,Coopérative Senyasenyo 3,{Cooperative production},Nsp,POINT (1.1862538224323906 6.620064002612912)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66f9,Maritime,Zio,Zio 3,Agbélouvé,Game Lomnava,Coopérative Groupement Amehu,{Cooperative production},Nsp,POINT (0.9895549999999985 6.732775000000001)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66f8,Maritime,Golfe,Golfe 5,Aflao-Gakli,Aflao-gakli,Coopérative Restodalou,{Cooperative transformation},Cooperative simple,POINT (1.1703296229349338 6.198822145058918)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66f7,Plateaux,Amou,Amou 1,Amlamé (Ouma),Ezime,Coopérative latiko,{Cooperative production},Nsp,POINT (0.9443633333333333 7.486673333333332)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66f6,Maritime,Golfe,Golfe 5,Aflao-Gakli,Aflao-gakli,Coopérative Minagro,{Cooperative transformation},Cooperative simple,POINT (1.1827302896664633 6.195623880652007)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66f5,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,Kpodji Aglamasoe,Coopérative Kpoadro,Nsp,Nsp,POINT (1.59282094792748 7.06290278774662)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66f4,Maritime,Lacs,Lacs 3,Agbodrafo,Djeke,Coopérative Gnenokpo,{Cooperative production},Cooperative avec conseil d administration,POINT (1.4905583333333334 6.208755)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66f3,Plateaux,Wawa,Wawa 1,Kpété-Béna,Kpete Bibi,Coopérative Nenyo,{Cooperative production},Nsp,POINT (0.6055283333333333 7.406229999999999)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66f2,Plateaux,Akébou,Akébou 2,Kpalavé,Kabagni,Coopérative Ketawo,{Cooperative production},Nsp,POINT (0.7743883333333332 7.887121666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66f1,Maritime,Bas-Mono,Bas-Mono 1,Kpétsou,Dedome,Coopérative Novissi,{Cooperative production},Nsp,POINT (1.5788799999999998 6.521643333333333)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66f0,Plateaux,Amou,Amou 3,Témédja,Hiheatro,Coopérative Mawupemo,{Cooperative production},Nsp,POINT (1.0939749125214784 7.521156060252276)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66ef,Plateaux,Amou,Amou 3,Témédja,Elavagno,Coopérative Mawupemo,{Cooperative production},Nsp,POINT (1.0939151133879303 7.521025915373262)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66ee,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Alinka Zogbedji,Coopérative Trotro,{Cooperative production},Cooperative simple,POINT (1.192815 6.283341666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66ed,Maritime,Bas-Mono,Bas-Mono 1,Kpétsou,Dedome,Coopérative Mawupeassi,{Cooperative production},Nsp,POINT (1.5817800000000002 6.528215)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66ec,Maritime,Avé,Avé 1,Tovégan,Have,Coopérative Gpc Have,"{Cooperative production,entraide}",Cooperative avec conseil d administration,POINT (0.9415049999999999 6.6201099999999995)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66eb,Maritime,Zio,Zio 3,Agbélouvé,Klikape,Coopérative Groupement De Sodja Klikape,{Cooperative production},Nsp,POINT (1.0583683333333294 6.73492166666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66ea,Maritime,Zio,Zio 3,Agbélouvé,Ake,Coopérative Groupement Solidarite,{Cooperative production},Nsp,POINT (0.9641341855412563 6.752446517075798)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66e9,Maritime,Bas-Mono,Bas-Mono 1,Kpétsou,Derome,Coopérative Don de Dieu,{Cooperative production},Nsp,POINT (1.580635 6.526728333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66e8,Maritime,Zio,Zio 3,Gamé-Sèva,Kawoula,Coopérative Gpc Kawoula Kope,{Cooperative production},Cooperative avec conseil d administration,POINT (1.1496816666666667 6.7449650000000005)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66e7,Plateaux,Danyi,Danyi 2,Ahlon,Koussountou,Coopérative Gpcc lidawe,{Cooperative production},Cooperative avec conseil d administration,POINT (0.6359646358389894 7.222196951578469)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66e6,Maritime,Bas-Mono,Bas-Mono 1,Kpétsou,Kpoteme,Coopérative Kekeli,{Cooperative production},Nsp,POINT (1.5851666666666668 6.534475)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66e5,Maritime,Bas-Mono,Bas-Mono 1,Kpétsou,Mawounou Kondji,Coopérative N'deli,{Cooperative production},Nsp,POINT (1.5668433333333334 6.529483333333333)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66e4,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Attikple,Coopérative Kekeli,{Cooperative production},Nsp,POINT (1.6791583333333335 6.468596666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66e3,Plateaux,Anié,Anié 2,Glitto,Togblo,Coopérative Gpc Togblo,{Cooperative production},Nsp,POINT (1.5622967873710785 7.537131067843874)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66e2,Plateaux,Agou,Agou 2,Agotimé-Sud (Adzakpa),Agbadzi,Coopérative Nevame,{Cooperative production},Nsp,POINT (0.8275411481469565 6.597477723597841)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66e1,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Avoutokpa Totavi,Coopérative Galagble,{Cooperative production},Nsp,POINT (1.647075 6.400653333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66e0,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Avoutokpa Totavi,Coopérative Novissi Djigbodi,{Cooperative production},Nsp,POINT (1.6476416666666664 6.4007016666666665)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66df,Maritime,Golfe,Golfe 5,Aflao-Gakli,Aflao-gakli,Coopérative Choco Noir,{Cooperative transformation},Cooperative simple,POINT (1.1871333726563167 6.191166074004771)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66de,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Zanvi,Coopérative Agetcheka,"{entraide,tontine}",Cooperative simple,POINT (1.1170088117164243 6.197394975644586)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66dd,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Alinka,Coopérative Noulagno,{Cooperative production},Cooperative simple,POINT (1.1940119616030902 6.279889342787197)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66dc,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Zanvi,Coopérative Vodou Heviesso,{entraide},Cooperative simple,POINT (1.1170087955976158 6.197349630404584)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66db,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Alinka Danlekpodji,Coopérative lonlon Gale,{Cooperative production},Cooperative simple,POINT (1.1887330390791677 6.287793287517753)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66da,Plateaux,Amou,Amou 3,Hihéatro,Elobè,Coopérative Kobayili,{autre},Nsp,POINT (1.0996233333333334 7.534541666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66d9,Maritime,Vo,Vo 1,Vogan,Avevonou,Coopérative Bethesda,{Cooperative production},Nsp,POINT (1.5158383333333334 6.368353333333332)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66d8,Maritime,Yoto,Yoto 2,Tchékpo,Tchekpo Djigbe,Coopérative N'tifafa,{Cooperative production},Cooperative simple,POINT (1.3606144648382184 6.532751264658755)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66d7,Maritime,Yoto,Yoto 2,Zafi,Djagble,Coopérative Gpc Djagble 2,{Cooperative production},Nsp,POINT (1.2440383333333334 6.735073333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66d6,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Togble Kope,Coopérative Kekeli,{Cooperative production},Cooperative simple,POINT (1.2128216666666667 6.277158333333333)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66d5,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Alinka,Coopérative Amenouveve,{Cooperative production},Cooperative simple,POINT (1.190595 6.287738333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66d4,Plateaux,Anié,Anié 2,Glitto,Danssou-cope,Coopérative Gpc Danssou-cope,{Cooperative production},Nsp,POINT (1.5443955193872927 7.53276353289806)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66d3,Plateaux,Est-Mono,Est-Mono 1,Gbadjahè,Abotchi,Coopérative Avec Ditorama De Abotchi,"{Cooperative production,tontine}",Nsp,POINT (1.3770066666666707 7.797131666666669)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66d2,Plateaux,Anié,Anié 2,Glitto,Kave,Coopérative Association Agbeko,{Cooperative production},Nsp,POINT (1.4826320479687105 7.545466502960239)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66d1,Centrale,Tchamba,Tchamba 3,Goubi,Ogou-alinde,Coopérative Essokona,{entraide},Cooperative avec conseil d administration,POINT (1.434055820791468 8.60232078280181)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66d0,Plateaux,Danyi,Danyi 2,Danyi-Kpeto-Evita,Tchagbang,Coopérative Alodo,{Cooperative production},Nsp,POINT (0.8235533333333334 7.376513333333333)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66cf,Plateaux,Agou,Agou 1,Agou-Akplolo,Akplolo,Coopérative Wlivevie,{Cooperative production},Nsp,POINT (0.7707363097586793 6.889078019501169)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66ce,Plateaux,Agou,Agou 1,Agou-Akplolo,Akplolo,Coopérative Avenir,{Cooperative production},Nsp,POINT (0.768765 6.889641666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66cd,Plateaux,Haho,Haho 1,Hahomégbé,Agbavé Marché,Coopérative Mawokpo,{Cooperative production},Nsp,POINT (0.9094753646464431 6.895132333374944)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66cc,Kara,Binah,Binah 2,Sirka,Atchaou,Coopérative Essowedeou,{Cooperative production},Cooperative simple,POINT (1.354345 9.583775000000001)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66cb,Plateaux,Agou,Agou 1,Agou-Tavié,Agou Klonou,Coopérative Agbe,{Cooperative production},Nsp,POINT (0.6778366666666678 6.833578333333328)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66ca,Plateaux,Haho,Haho 1,Atchavé,Agotove,Coopérative Miiweoenenyon,{Cooperative production},Nsp,POINT (1.147166976462654 6.885320715588122)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66c9,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Akoin,Coopérative Nussindodo,{Cooperative production},Cooperative simple,POINT (1.203035 6.279281666666666)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66c8,Plateaux,Haho,Haho 4,Wahala,Afidegnigba,Coopérative Guebena,{Cooperative production},Nsp,POINT (1.2437347309276394 7.15995126606412)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66c7,Kara,Binah,Binah 2,Sirka,Amonde,Coopérative Essossinadou,{Cooperative transformation},Cooperative avec conseil d administration,POINT (1.3453016666666668 9.56035)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66c6,Plateaux,Haho,Haho 4,Wahala,Kpota Lycée,Coopérative Espoir,"{Cooperative production,autre}",Nsp,POINT (1.16567 7.162918333333333)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66c5,Kara,Binah,Binah 2,Sirka,Tchalaide,Coopérative Uccr(union Cantonale des Coopératives de Producteurs de Riz)bienvenue,{Cooperative production},Nsp,POINT (1.3450728094273847 9.534828832596665)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66c4,Maritime,Avé,Avé 1,Tovégan,Atti Elio,Coopérative Novissi,{Cooperative production},Cooperative avec conseil d administration,POINT (0.8768863594109916 6.574610746044184)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66c3,Maritime,Avé,Avé 1,Tovégan,Wotinou,Coopérative Jrt,{Cooperative production},Cooperative avec conseil d administration,POINT (0.8855266666666667 6.548021666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66c2,Plateaux,Haho,Haho 4,Kpegnon (Haito),Dovi Cope,Coopérative Groupement Novissi,"{Cooperative production,tontine}",Nsp,POINT (0.9492429625444593 7.185629871826591)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66c1,Plateaux,Kloto,Kloto 1,Kpadapé,Zangarame,Coopérative Novissi,{Cooperative production},Nsp,POINT (0.5940816666666666 6.838765)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66c0,Maritime,Zio,Zio 3,Gamé-Sèva,Akotokope,Coopérative Gpc Akotokope,{Cooperative production},Cooperative avec conseil d administration,POINT (1.22185 6.697344999999999)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66bf,Plateaux,Haho,Haho 1,Hahomégbé,Atiketoe,Coopérative Atiketoe,{Cooperative production},Nsp,POINT (0.9497121982729072 6.988903317585583)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66be,Maritime,Zio,Zio 1,Abobo,Lebe Centre,Coopérative Mokpokpo,"{Cooperative production,tontine}",Cooperative avec conseil d administration,POINT (1.3497166666666667 6.219568333333332)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66bd,Maritime,Zio,Zio 1,Abobo,Lebe,Coopérative Mawunyo,{Cooperative production},Cooperative avec conseil d administration,POINT (1.34973 6.219553333333333)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66bc,Maritime,Avé,Avé 1,Tovégan,Atti _atovou,Coopérative Minonzo,"{Cooperative production,tontine}",Cooperative avec conseil d administration,POINT (0.8682433333333334 6.551981666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66bb,Maritime,Zio,Zio 3,Agbélouvé,Kotso Kope,Coopérative Groupement Nutifafa,{Cooperative production},Nsp,POINT (0.9978802842052804 6.823740267221958)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66ba,Maritime,Zio,Zio 3,Agbélouvé,Atargbe,Coopérative Groupement Essoyanam,Nsp,Nsp,POINT (1.0241009687469702 6.7724956746730305)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66b9,Maritime,Zio,Zio 3,Agbélouvé,Tomefa,Coopérative Groupement De Production De Coton,{Cooperative production},Nsp,POINT (1.0366350000000004 6.752958315500574)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66b8,Maritime,Avé,Avé 1,Tovégan,Atti Tomefa,Coopérative Agblenke,{Cooperative production},Cooperative simple,POINT (0.84361 6.572746666666665)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66b7,Maritime,Zio,Zio 3,Agbélouvé,Kotso Kope,Coopérative Groupement Agbenoxevi,{Cooperative production},Nsp,POINT (0.9979583333333345 6.8237016666666594)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66b6,Maritime,Zio,Zio 3,Agbélouvé,Kotso Kope,Coopérative Groupement Amen,{Cooperative production},Nsp,POINT (0.9977842896910674 6.823699821506298)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66b5,Maritime,Zio,Zio 3,Agbélouvé,Issa Kope,Coopérative Groupement Essossinam,{Cooperative production},Nsp,POINT (1.0685224640860902 6.757074126321941)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66b4,Maritime,Zio,Zio 3,Agbélouvé,Kondo Kope,Coopérative Groupement Solim,{Cooperative production},Nsp,POINT (1.0735524655672104 6.752980791827253)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66b3,Maritime,Zio,Zio 3,Agbélouvé,Lome 2,Coopérative Groupement De Production De Cotons,{Cooperative production},Nsp,POINT (1.0526366666666698 6.799425000000003)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66b2,Maritime,Avé,Avé 1,Tovégan,Tivié,Coopérative lomnava,{Cooperative production},Cooperative avec conseil d administration,POINT (0.8983833333333333 6.56961)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66b1,Maritime,Zio,Zio 3,Agbélouvé,Kplaba,Coopérative Novissi,Nsp,Nsp,POINT (1.0980732736541412 6.748229685604851)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66b0,Maritime,Zio,Zio 3,Agbélouvé,Ake,Coopérative Groupement Unions Fait La Force,{Cooperative production},Nsp,POINT (0.964175 6.752459999999998)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66af,Maritime,Zio,Zio 3,Agbélouvé,Ake,Coopérative Groupement Espoir,{Cooperative production},Nsp,POINT (0.96411666666667 6.752479999999998)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66ae,Maritime,Zio,Zio 3,Agbélouvé,Foulany Kope,Coopérative Gpc,{Cooperative production},Nsp,POINT (1.0448566666666712 6.80725666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66ad,Maritime,Zio,Zio 3,Agbélouvé,Nsp,Coopérative Groupement Pompe,{Cooperative production},Nsp,POINT (1.0409800000000002 6.8132899999999985)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66ac,Maritime,Avé,Avé 1,Tovégan,Hekpe,Coopérative Espoir,"{Cooperative production,Cooperative transformation}",Nsp,POINT (0.91896 6.615051666666666)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66ab,Maritime,Zio,Zio 3,Agbélouvé,Tokpevia,Coopérative Groupement  Apeyeye,"{Cooperative production,tontine}",Nsp,POINT (1.056468333333331 6.777196666666671)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66aa,Maritime,Avé,Avé 1,Tovégan,Apeyeme,Coopérative Avicultureave,{Cooperative production},Cooperative avec conseil d administration,POINT (0.8610216666666666 6.53399)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66a9,Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,Aglanvikope,Coopérative Mebuikpo,{Cooperative production},Nsp,POINT (1.5909783333333332 6.486723333333333)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66a8,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Bogo,Coopérative Gnabana,{Cooperative production},Cooperative simple,POINT (1.0248216666666667 8.559135)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66a7,Savanes,Kpendjal,Kpendjal 1,Koundjoaré,Sankortchagou,Coopérative lannametime,"{Cooperative production,small business}",Cooperative avec conseil d administration,POINT (0.6106183333333333 10.982473333333333)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66a6,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Tigbada,Coopérative Djoulamegou,{Cooperative production},Cooperative avec conseil d administration,POINT (0.9830116666666666 8.479088333333333)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66a5,Savanes,Kpendjal,Kpendjal 1,Koundjoaré,Sankortchagou,Coopérative Dakalfam,{Cooperative production},Cooperative avec conseil d administration,POINT (0.6103783489555401 10.982689871346635)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66a4,Savanes,Tandjoaré,Tandjoaré 2,Lokpano,Nagou,Coopérative lantante,{tontine},Nsp,POINT (0.1350816666666667 10.667398333333331)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66a3,Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,Mome Ahonlogoe,Coopérative Agbeyeye,{Cooperative production},Nsp,POINT (1.5734366666666668 6.452563333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66a2,Centrale,Mô,Mô 2,Saïboudè,Sabodjida,Coopérative Aide,{Cooperative production},Cooperative avec conseil d administration,POINT (0.4715842921625212 8.603032828000748)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66a1,Savanes,Oti-Sud,Oti-Sud 1,Tchamonga,Tcharkpanga,Coopérative lampouguine,{Cooperative production},Cooperative simple,POINT (0.8062566666666666 10.701976666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-66a0,Savanes,Oti,Oti 1,Mango,Mango,Coopérative Anoche,Nsp,Nsp,POINT (0.4705990086815979 10.359551149067064)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-669f,Savanes,Tandjoaré,Tandjoaré 2,Tampialime,Tampialim2,Coopérative Totre-nan,{tontine},Cooperative avec conseil d administration,POINT (-0.0018533333333333 10.730668333333332)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-669e,Maritime,Avé,Avé 2,Noépé,Noepe,Coopérative Terre Nourricière,{Cooperative production},Cooperative avec conseil d administration,POINT (1.0429433333333333 6.2550566666666665)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-669d,Maritime,Zio,Zio 3,Agbélouvé,Tsito,Coopérative Groupement Novissi Tsito,"{Cooperative production,tontine}",Nsp,POINT (1.0957458708792414 6.72819294182618)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-669c,Maritime,Avé,Avé 2,Noépé,Agome Goffi,Coopérative Kekeli,{Cooperative production},Cooperative simple,POINT (1.0601583333333333 6.280223333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-669b,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Tannou,Coopérative Mawupassi,"{Cooperative production,Cooperative transformation}",Nsp,POINT (1.6384016666666668 6.380534999999999)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-669a,Maritime,Bas-Mono,Bas-Mono 2,Agome-Glozou,Avegbo,Coopérative Mawupemon,{Cooperative production},Nsp,POINT (1.6945183333333333 6.541201666666666)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6699,Maritime,Zio,Zio 3,Agbélouvé,Mayikou,Coopérative Groupement Mianodou,"{Cooperative production,tontine}",Nsp,POINT (1.1000802989215102 6.74551728934681)
