FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,cooperative_nom,cooperative_statut,cooperative_type,geometry
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6029,Plateaux,Amou,Amou 2,Kpatégan,Teme Oulo,Coopérative Edigbokele,{Cooperative production},Cooperative simple,POINT (0.9578955189063738 7.368724411159427)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6028,Plateaux,Amou,Amou 2,Kpatégan,Teme Olou,Coopérative Aboue,{Cooperative production},Cooperative simple,POINT (0.9579659543483611 7.368371681611466)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6027,Plateaux,Amou,Amou 2,Kpatégan,Teme Oulo,Coopérative Ouboueba,{Cooperative production},Cooperative avec conseil d administration,POINT (0.9581282275673391 7.368910003028078)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6026,Plateaux,Amou,Amou 2,Kpatégan,Teme Oulo,Coopérative Awuihla Wekele,{Cooperative production},Cooperative simple,POINT (0.9583001502025663 7.368739500285622)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6025,Plateaux,Amou,Amou 2,Kpatégan,Teme Oulo,Coopérative Essossolim,{Cooperative production},Cooperative simple,POINT (0.9584025152490336 7.368386608458153)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6024,Plateaux,Amou,Amou 2,Kpatégan,Idoh Copé,Coopérative Adiavou,{Cooperative production},Nsp,POINT (0.9668679981600035 7.360094108313594)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6023,Plateaux,Amou,Amou 2,Kpatégan,Oulo-elavagnon,Coopérative lolonyo,"{Cooperative production,tontine,entraide}",Nsp,POINT (0.9757733333333333 7.381375000000001)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6022,Plateaux,Amou,Amou 2,Kpatégan,Oulo-elavagnon,Coopérative Edigboekele,"{Cooperative production,entraide}",Nsp,POINT (0.9754116666666667 7.382553333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6021,Plateaux,Amou,Amou 2,Kpatégan,Idok-cope,Coopérative En Avant,"{Cooperative production,entraide}",Nsp,POINT (0.96655 7.360213333333333)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6020,Plateaux,Amou,Amou 2,Ekpégnon,Agbogboli,Coopérative Iyadou,{Cooperative production},Nsp,POINT (0.995825 7.294838333333333)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-601f,Plateaux,Amou,Amou 2,Ekpégnon,Agbezoli,Coopérative Panapassa,{Cooperative production},Cooperative simple,POINT (1.00245 7.2928483333333345)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-601e,Plateaux,Amou,Amou 2,Ekpégnon,Agbezoli,Coopérative deheza,"{Cooperative production,entraide}",Cooperative simple,POINT (1.0029665804147132 7.292698132918272)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-601d,Plateaux,Amou,Amou 2,Ekpégnon,Nyle,Coopérative Assiwa,{Cooperative production},Nsp,POINT (0.9734783333333333 7.325910000000001)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-601c,Plateaux,Amou,Amou 2,Ekpégnon,Nyle,Coopérative Kouzaledou,{Cooperative production},Nsp,POINT (0.9737290243714151 7.325440347746475)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-601b,Plateaux,Amou,Amou 2,Ekpégnon,Nyle,Coopérative labayili,{Cooperative production},Nsp,POINT (0.9732119707311742 7.32562292524443)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-601a,Plateaux,Amou,Amou 2,Ekpégnon,Ekpeynon Onyawlou,Coopérative Mawoulawe,{Cooperative production},Nsp,POINT (1.0119499079109242 7.251936389023179)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6019,Plateaux,Amou,Amou 2,Ekpégnon,Ekpeynon Vakpo,Coopérative Cap Tekawu,{Cooperative production},Nsp,POINT (1.0240166666666668 7.252891666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6018,Plateaux,Amou,Amou 2,Ekpégnon,Zebe I,Coopérative Omaboe,{Cooperative production},Nsp,POINT (1.0411233333333334 7.256301666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6017,Plateaux,Amou,Amou 2,Ekpégnon,Zebe,Coopérative Gpc Mivo,{Cooperative production},Nsp,POINT (1.0367966666666668 7.252845)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6016,Plateaux,Amou,Amou 2,Ekpégnon,Kassaro,Coopérative Kassarou,{Cooperative production},Nsp,POINT (1.0573416666666666 7.272241666666668)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6015,Plateaux,Amou,Amou 2,Ekpégnon,Mayaba Cope,Coopérative Hezouwe,"{Cooperative production,tontine,entraide}",Nsp,POINT (1.020425645055654 7.2342628850381505)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6014,Plateaux,Amou,Amou 2,Ekpégnon,Mayaba Cope,Coopérative Ritchari,{Cooperative production},Nsp,POINT (1.0205449999999998 7.233999999999999)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6013,Plateaux,Amou,Amou 2,Ekpégnon,Ognawlu,Coopérative Assilassime,{Cooperative production},Nsp,POINT (1.0124983333333333 7.251769999999999)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6012,Plateaux,Amou,Amou 2,Ekpégnon,Adogli,Coopérative Union,"{tontine,Cooperative production}",Nsp,POINT (1.0305966666666668 7.214654999999999)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6011,Plateaux,Amou,Amou 2,Ekpégnon,Ekpegnon Tognisse,Coopérative Novignon,{Cooperative production},Nsp,POINT (1.0411716666666666 7.217071666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6010,Plateaux,Amou,Amou 2,Amou-Oblo,Assogba Kope,Coopérative Te'eyanatiye,{Cooperative production},Cooperative avec conseil d administration,POINT (0.9249687624418165 7.359937455778766)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-600f,Plateaux,Amou,Amou 2,Amou-Oblo,Patatoukou,Coopérative lelenwe,{Cooperative production},Cooperative simple,POINT (0.8501166666666666 7.34935)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-600e,Plateaux,Amou,Amou 2,Amou-Oblo,Patatoukou,Coopérative Passama,{Cooperative production},Cooperative simple,POINT (0.847235 7.3434366666666655)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-600d,Plateaux,Amou,Amou 2,Amou-Oblo,Akloua Kope,Coopérative Izaledou,{Cooperative production},Nsp,POINT (0.9532366973371508 7.3326070564892625)
